Animal_1,Animal_2,Animal_3,Animal_4,Animal_5,Animal_6,Animal_7,Animal_8,Animal_9,Animal_10,Animal_11,Animal_12,Animal_13,Animal_14,Animal_15,Animal_16,Animal_17,Animal_18,Animal_19,Animal_20,Animal_21,Animal_22,Animal_23,Animal_24,Animal_25,Animal_26,Animal_27,Animal_28,Animal_29,Animal_30,Animal_31,Animal_32,Animal_33,Animal_34,Animal_35,Animal_36,Animal_37,Animal_38,Animal_39,Animal_40,Animal_41,Animal_42,Animal_43,Animal_44,Animal_45,Animal_46,Animal_47,Animal_48,Animal_49,Animal_50
11.0985936599386,9.31639464319018,7.69324612744422,13.3867326199441,10.6156770192899,9.69135268147739,12.5828976881733,10.9812071047322,9.48522101289844,10.8683781975768,9.72616359851143,13.3037473369331,11.9075053824089,13.5192848939595,5.55410992584348,5.58010967042835,8.09259931762244,10.7215504526222,12.224766500431,10.7215504525236,5.54016814492558,5.35235087870894,14.535943640575,14.32398504118,14.32398504118,10.1715052488639,5.83939858718575,3.23234037624899,10.1715052486941,35.966887368689,4.53424767766312,19.7444825861542,6.16279902224187,5.79148204012926,7.54728105139052,4.53424767766312,5.79148204012926,4.53424767766312,3.87589942689576,5.79148204012926,4.53424767766312,4.53424767766312,4.53424767766312,5.06353576023267,5.79148204012926,4.53424767766312,4.53424767766312,4.53424767766312,4.53424767766312,6.16279902224187
11.196891103268,8.91925044614106,7.38286046512638,12.7457743366518,9.87557792530435,9.51520416582539,12.0955530902859,10.6692586564581,8.94642712537454,11.5798237568827,9.34956669685056,12.8537707299256,11.7067293040745,13.0652013680801,5.02629897987578,5.54834998429223,7.48753170269685,10.1285058359358,12.0335485887383,10.1285058359041,5.67929595859067,4.71680177768107,15.5962536443928,14.1206034480895,14.1206034480895,9.85972764340408,5.70925615559559,3.1224498692414,9.85972764328122,36.4530482934263,4.38170670644206,19.4826615097193,5.97166508023539,6.47319615643594,6.64817715298373,4.38170670644206,6.47319615643594,4.38170670644206,3.5203313646141,6.47319615643594,4.38170670644206,4.38170670644206,4.38170670644206,5.03221220831668,6.47319615643594,4.38170670644206,4.38170670644206,4.38170670644206,4.38170670644206,5.97166508023539
11.6720742761853,9.62800929444928,8.28994872118487,13.8276325811564,11.0258908238344,9.99793985664312,13.2021047658213,11.2543681871567,10.1815377896971,11.2383971843999,10.5449051584296,13.7237960145831,12.2490659828984,13.938696220756,5.54881750294997,5.79610682862785,8.43559265163301,11.5561852896251,12.6630356569521,11.5561852887645,6.08050435393768,5.33705341755025,15.1189493655096,14.7671217714527,14.7671217714527,11.2675747799864,5.94870597919729,3.33715596403337,11.2675747808984,37.8677694933942,4.67171786512034,20.3554675965565,6.70385178469171,6.64465186579044,7.51817880097992,4.67171786512034,6.64465186579044,4.67171786512034,3.74423612303969,6.64465186579044,4.67171786512034,4.67171786512034,4.67171786512034,5.62674495064422,6.64465186579044,4.67171786512034,4.67171786512034,4.67171786512034,4.67171786512034,6.70385178469171
11.8071686546068,9.08463137549849,7.6818609204781,13.9545281360343,10.6609994421888,10.304602225967,13.2072838678917,11.8343169799449,9.42601942909191,11.6132847260096,9.77275636705125,14.2859777457796,13.0868347021013,14.4489197529252,5.07122570314103,5.48258112863589,7.68317382812832,10.6877806827197,13.3533076850262,10.6877806817837,5.51351573362734,4.83602075591918,15.6276634133758,15.8287853737857,15.8287853737857,10.427015066927,5.27210858210126,3.02895983676259,10.4270150667818,35.3577794713507,4.24329560430226,21.9788892561978,5.81794517940005,6.27239737483246,6.81425037992229,4.24329560430226,6.27239737483246,4.24329560430226,3.56536127541421,6.27239737483246,4.24329560430226,4.24329560430226,4.24329560430226,5.24875432884483,6.27239737483246,4.24329560430226,4.24329560430226,4.24329560430226,4.24329560430226,5.81794517940005
11.737482471244,9.2337562380804,8.07538463630604,13.7984283968907,10.857410244185,10.0446853241787,13.20949152364,11.4172147233975,9.94427416065167,11.4656556182909,10.3058557170033,14.014118927148,12.4609612256709,14.1974553574763,5.38364579252148,5.61900034761733,8.38152105566478,11.2896282512015,12.8220439980761,11.2896282509218,5.80884545453245,5.28432643690716,15.4382754739312,15.0446146801712,15.0446146801712,10.7320971327633,5.46147356288434,3.03828691087707,10.7320971317005,38.372101104347,4.26466643006199,20.8455025634259,6.36853525509584,6.51786014243594,7.45494470482468,4.26466643006199,6.51786014243594,4.26466643006199,3.63130097178858,6.51786014243594,4.26466643006199,4.26466643006199,4.26466643006199,5.31115758993093,6.51786014243594,4.26466643006199,4.26466643006199,4.26466643006199,4.26466643006199,6.36853525509584
12.0450984829152,9.04147507083403,8.09009629778444,13.9423747907353,10.8658575557559,10.2320746698258,13.2869253479838,11.5613413375351,9.93127775668513,12.0376805759729,10.307670410347,14.2033788461578,12.7406557707486,14.3933927915759,5.18044799462963,5.91584635983749,8.41619075492288,11.2670663314814,13.1462412183344,11.2670663309979,6.01276614879483,4.9012684893962,16.2058790957712,15.3840387898733,15.3840387898733,10.785218224002,5.85180701749459,3.12086455192435,10.7852182249129,37.3664512931022,4.37424315636503,21.3122443464402,6.72072343331876,6.64513905847407,6.9066200978398,4.37424315636503,6.64513905847407,4.37424315636503,3.69793432250523,6.64513905847407,4.37424315636503,4.37424315636503,4.37424315636503,5.69209937659466,6.64513905847407,4.37424315636503,4.37424315636503,4.37424315636503,4.37424315636503,6.72072343331876
11.8970987790088,9.6011623572774,8.18931383207404,14.2435856255702,11.2247191000916,10.1897184482427,13.4509842943859,11.5862281403913,10.1456047276432,11.5284028598205,10.4560469984084,14.2225703435502,12.6993600578805,14.3988550020258,5.31845482068545,5.48950577274462,8.33034236742306,11.5373515403908,13.0361123683496,11.5373515406766,5.64762546090294,5.17405944039725,15.5965728609808,15.353681109338,15.353681109338,11.1546270072075,5.80251386629318,3.14177717315312,11.1546270073522,35.1695167131457,4.39649994553051,21.2648490486429,6.19459703282022,6.16320260865009,7.28912652813426,4.39649994553051,6.16320260865009,4.39649994553051,3.52084378637725,6.16320260865009,4.39649994553051,4.39649994553051,4.39649994553051,5.15857554456538,6.16320260865009,4.39649994553051,4.39649994553051,4.39649994553051,4.39649994553051,6.19459703282022
11.8020970119835,9.55210640290311,7.9968652273765,13.5728447748698,10.7219909356254,9.78753485045836,13.0156129509617,11.1598505546453,9.90967329535346,11.9678042774652,10.2007639887826,13.5865700045468,12.1585925195775,13.7668054797291,5.34612817119748,5.5032105409632,8.01942122997624,11.2535040561721,12.4819105199997,11.2535040560462,5.51522342713395,5.24708219701766,16.1882409050278,14.6735428289999,14.6735428289999,10.9987317329649,5.40768966247118,3.04497372655067,10.9987317329982,36.6082924038945,4.26284905192436,20.3082389627277,6.06483360144946,6.02486931920963,7.39537602648618,4.26284905192436,6.02486931920963,4.26284905192436,3.58875425028461,6.02486931920963,4.26284905192436,4.26284905192436,4.26284905192436,5.18434360073606,6.02486931920963,4.26284905192436,4.26284905192436,4.26284905192436,4.26284905192436,6.06483360144946
11.7397034215409,9.2574579219928,7.9646374625506,13.5350629580746,10.5156880780387,9.87109580981876,13.029041989647,11.26740383505,9.85456150852917,11.8045074566858,10.1084723805452,13.8994360427107,12.4199616292833,14.1319470870948,5.16228675515606,5.73877671523739,8.30399016311992,11.1930288350363,12.7251121406676,11.1930288353783,5.50103941551634,4.76962619057423,15.8732456984756,15.0033171987053,15.0033171987053,10.6508956179165,5.75417003128317,3.37153615848689,10.650895618614,39.239461965859,4.72158404086619,20.685602852022,5.9675008512734,5.73409696996818,6.71258516787278,4.72158404086619,5.73409696996818,4.72158404086619,3.54888521586757,5.73409696996818,4.72158404086619,4.72158404086619,4.72158404086619,4.96432992682872,5.73409696996818,4.72158404086619,4.72158404086619,4.72158404086619,4.72158404086619,5.9675008512734
11.1858321404721,9.12571634306596,7.52413963486589,12.7409301603369,10.0539237363919,9.35774014614666,12.2218146734107,10.5623154178648,9.226494883689,11.5225327978891,9.58800065136507,12.8815219538877,11.48882314764,13.0484066644964,5.11531683432396,5.7069922527307,7.81438305064883,10.4695508605773,11.8950687036704,10.4695508605658,5.64519574661442,5.03141985312822,15.4663542655735,13.8618717324544,13.8618717324544,10.0588110568559,5.33050160083528,2.9070362655252,10.0588110569652,40.3949749697679,4.0674286568604,19.1771173886747,6.33837686483904,6.23585598086264,7.09056514335024,4.0674286568604,6.23585598086264,4.0674286568604,3.41746191746777,6.23585598086264,4.0674286568604,4.0674286568604,4.0674286568604,5.03478708299776,6.23585598086264,4.0674286568604,4.0674286568604,4.0674286568604,4.0674286568604,6.33837686483904
