Scenario,Output,DIAL,UNK_SM_BEE,UNSFL,HETH,LATI,SAB,EUAC,Halictid,HATR,PANUR,SYRPHID4,ANCA,ANDRENA,BF2,BOM2,FUZZ,HALI,MEGA,SYRPHID2,SYRPHID5,UNKFLY,APME,BF1,NOSP1,OSMIA,Peponapis,REDMOTH2,SYRPHID1,SYRPHID6,UNWASP1,ADELA,ANPL,ARISTOLIS,ASAR,BOM1,COTU,HATR_or_LATI,RAB,SBS,SMANTH,SPHEC,SYRPHID3,UNBEE1,UNBEE3,UNKLEP,UNMOTH,UNMOTH1,UNMOTH2,UNMOTH3,YHB,Sum,Mean
Goatgrass,sVisitsA,14.48430119,4.474565176,6.614470694,17.49060912,6.070022498,18.92706354,21.539086,24.26857769,8.223878992,6.015400311,8.471448127,27.90307178,28.85164467,28.04371074,2.762112891,2.875905382,5.867156451,9.619908518,28.69703999,9.619908516,3.991202032,1.724906491,8.812663098,35.78364785,35.78364785,10.40433659,2.555897982,3.714463541,10.40433659,28.76600672,5.292641823,50.6493734,3.560381121,3.482784999,2.448309945,5.292641823,3.482784999,5.292641823,0.488500089,3.482784999,5.292641823,5.292641823,5.292641823,0.55429284,3.482784999,5.292641823,5.292641823,5.292641823,5.292641823,3.560381121,550.8797878,11.01759576
Goatgrass,sVisitsA,14.69500201,4.292030992,6.408668545,17.76386114,5.848433508,19.174752,21.8070319,24.65190858,7.895621592,5.601928516,8.176125142,28.40710246,29.4153686,28.59644861,2.841751271,2.98761062,5.934178782,9.235481269,29.21997633,9.235481269,4.121455446,1.875065906,8.217641442,36.44661869,36.44661869,9.813848141,2.542013144,3.75177672,9.81384814,26.99739503,5.348686291,51.58223537,3.647743578,3.787859526,2.660678361,5.348686291,3.787859526,5.348686291,0.477311101,3.787859526,5.348686291,5.348686291,5.348686291,0.603988398,3.787859526,5.348686291,5.348686291,5.348686291,5.348686291,3.647743578,553.4730459,11.06946092
Goatgrass,sVisitsA,13.56827097,4.126566073,6.177211136,16.58831718,5.728633249,17.82272289,20.2636472,22.91120418,7.730393385,5.954590173,7.972798754,26.27565082,27.23865502,26.40893997,2.385679853,2.622540695,5.570294589,9.043004769,27.04477822,9.043004768,3.657336187,1.605946681,8.671865028,33.80451663,33.80451663,9.653634858,2.097159322,3.170169663,9.653634858,24.39192931,4.532044982,47.84010184,3.507302725,3.354740039,2.281183427,4.532044982,3.354740039,4.532044982,0.466440821,3.354740039,4.532044982,4.532044982,4.532044982,0.54474377,3.354740039,4.532044982,4.532044982,4.532044982,4.532044982,3.507302725,511.8740984,10.23748197
Goatgrass,sVisitsA,14.80708108,4.428034864,6.53873446,18.02163287,6.036984707,19.3847064,21.97067947,24.75464791,8.231291298,5.554354532,8.472197874,28.65736409,29.60432834,28.78057209,2.508651763,2.677089101,5.659379237,9.630035729,29.39611375,9.630035729,3.739220606,1.912122135,8.153037966,36.71819796,36.71819796,10.45247429,2.099901431,3.180441138,10.45247429,29.61962207,4.534908991,51.96516962,3.726141213,3.387392176,2.710649607,4.534908991,3.387392176,4.534908991,0.492874706,3.387392176,4.534908991,4.534908991,4.534908991,0.553199014,3.387392176,4.534908991,4.534908991,4.534908991,4.534908991,3.726141213,549.8624391,10.99724878
Goatgrass,sVisitsA,14.08584967,4.008180105,6.225250379,17.06084153,5.72874424,18.31178656,20.85957373,23.59687932,7.742330222,5.790713044,7.993991776,27.17407421,28.23407905,27.33924632,2.612298563,2.741954685,5.83903579,9.043159191,27.98285786,9.043159191,3.858748209,1.869371264,8.472572392,34.96198025,34.96198025,9.495258131,2.188004143,3.350887812,9.495258131,27.53391537,4.797037108,49.46647763,3.669592506,3.5522529,2.654487761,4.797037108,3.5522529,4.797037108,0.445455033,3.5522529,4.797037108,4.797037108,4.797037108,0.487953338,3.5522529,4.797037108,4.797037108,4.797037108,4.797037108,3.669592506,530.1749228,10.60349846
Goatgrass,sVisitsA,12.81791097,4.295582216,6.345215003,15.53208497,5.894895369,16.41742171,18.94085977,21.22749921,7.918473339,5.70119307,8.191341382,24.42460612,25.49736827,24.58082666,2.478213312,2.593525067,5.750826787,9.255192454,25.27363801,9.255192454,3.826698681,1.773653751,8.366163283,31.69174798,31.69174798,9.82988623,2.14103963,3.205155657,9.82988623,27.38082743,4.580715678,44.86360669,3.572061475,3.776439824,2.517431202,4.580715678,3.776439824,4.580715678,0.462308057,3.776439824,4.580715678,4.580715678,4.580715678,0.562981699,3.776439824,4.580715678,4.580715678,4.580715678,4.580715678,3.572061475,498.5920397,9.971840794
Goatgrass,sVisitsA,13.63652895,4.00663734,6.064547019,16.30717598,5.504022169,17.71772591,20.23463831,22.8198196,7.548787871,5.611480979,7.785582905,26.42842234,27.35118713,26.55487483,2.565847226,2.643158611,5.464812443,8.824047424,27.13681069,8.824047425,3.704785027,1.841632533,8.214434745,33.89095215,33.89095215,9.461568753,2.164319682,3.294536517,9.461568754,26.91675881,4.700967565,47.96668154,3.468166985,3.342717157,2.612287288,4.700967565,3.342717157,4.700967565,0.441151168,3.342717157,4.700967565,4.700967565,4.700967565,0.504591577,3.342717157,4.700967565,4.700967565,4.700967565,4.700967565,3.468166985,514.7132541,10.29426508
Goatgrass,sVisitsA,13.01224113,4.172990671,6.282820603,15.68756547,5.791727325,16.62529414,19.28704107,21.61350554,7.81077165,6.165143731,8.100090626,24.95677653,25.85181561,25.11063494,2.492752232,2.696190625,5.566141277,9.141181104,25.61447921,9.141181104,3.933808804,1.723018184,9.011920993,32.13897446,32.13897446,9.861181308,2.128590928,3.278800966,9.861181308,27.11682349,4.687513013,45.47580204,3.744515416,3.844817576,2.446756255,4.687513013,3.844817576,4.687513013,0.479723125,3.844817576,4.687513013,4.687513013,4.687513013,0.512163482,3.844817576,4.687513013,4.687513013,4.687513013,4.687513013,3.744515416,504.9714957,10.09942991
Goatgrass,sVisitsA,12.77748883,3.920056453,5.975271944,15.24539917,5.45322727,16.52723032,18.9686363,21.30255407,7.416390597,5.769592922,7.667077186,24.61941794,25.57073059,24.79181877,2.568919037,2.658424961,5.607196636,8.692086975,25.43918619,8.692086976,3.693911892,1.788464334,8.440655039,31.81490168,31.81490168,9.160254614,2.260567035,3.363701216,9.160254615,24.75680323,4.801719302,45.03218027,3.399572669,3.249723659,2.538126609,4.801719302,3.249723659,4.801719302,0.485458848,3.249723659,4.801719302,4.801719302,4.801719302,0.573716782,3.249723659,4.801719302,4.801719302,4.801719302,4.801719302,3.399572669,492.361924,9.84723848
Goatgrass,sVisitsA,14.04081165,4.673868019,6.919491965,16.93949385,6.434712554,17.959904,20.77360766,23.24796591,8.692572533,6.168839816,8.957895707,26.78344535,27.85464207,26.92589513,2.602779063,2.788846753,6.065775909,10.16592642,27.66738169,10.16592642,3.952034832,1.870619751,9.008455112,34.64010447,34.64010447,10.94107937,2.197659054,3.390054503,10.94107937,26.51880667,4.833028881,49.04117778,3.748773799,3.732665434,2.652829369,4.833028881,3.732665434,4.833028881,0.514068536,3.732665434,4.833028881,4.833028881,4.833028881,0.569590247,3.732665434,4.833028881,4.833028881,4.833028881,4.833028881,3.748773799,537.4659442,10.74931888
