"site","niche.overlap.HL","niche.overlap.LL","mean.number.of.shared.partners.HL","mean.number.of.shared.partners.LL","NODF","weighted.NODF","Shannon.diversity","H2","ind_nestedness_laca","betwenness_centrality_laca","closeness_centrality_laca","NODfc","Removal_Effort","Site","Year","LACA_Pollinator_Richness","LACA_n","Network_Plant_Richness","Total_Pollinator_Richness","Total_n","LACA_abundance","Site_Plant_Richness","Grass_Cover"
"Long_2022",0.240033733474258,0.0440113380545264,0.411594202898551,0.415204678362573,23.338170259812,13.441818684356,3.51392873673569,0.66211290811534,4.82108945,787.569023,0.009174312,3.463027,"High","Long",2022,22,125,20,46,328,17699.8,47,8.5
"Bertha_2022",0.43569802189166,0.149682307585452,0.813775510204082,1.05,46.0722859102489,23.9045047031158,3.69880189556026,0.455727932113844,6.5500525,1258.627861,0.009345794,3.335376,"High","Bertha",2022,36,342,17,49,467,11154.4,45,10.0526315789474
"Bertha_2023",0.25396342861765,0.0918845148105844,0.438689217758985,0.523809523809524,24.6445562049749,12.5301677918234,3.8662140582211,0.613755002869478,3.84893996,798.532555,0.007352941,2.842617,"High","Bertha",2023,21,81,17,45,246,832.166666666667,47,1.6865671641791
"Quarry_2022",0.212884668224757,0.0642704346046861,0.450638792102206,0.535947712418301,24.9226699226699,11.2782160859084,2.1601049663433,0.777702667452138,0.33758081,162.713441,0.005882353,2.501677,"Low","Quarry_1",2022,7,11,20,42,639,406,NA,24.75
"Quarry1_2023",0.149670053159859,0.150647270232584,0.340909090909091,0.573122529644268,20.3327313450013,10.7543666285998,3.98856645629439,0.585043507741407,2.75085849,477.840038,0.004587156,2.442682,"Low","Quarry_1",2023,9,14,25,56,365,260,59,44.5
"Quarry2_2023",0.201857898816297,0.134999348623175,0.357954545454545,0.690909090909091,22.8740232513817,8.0293501048218,3.03575555826709,0.642664284307326,0.94742008,109.008608,0.007633588,2.604337,"Low","Quarry_2",2023,6,59,11,33,240,213.5,44,24.064516
"Goatgrass_2022",0.357782854962522,0.125463268236849,0.645454545454546,0.66,33.384224302829,20.0045303533676,3.90648558406719,0.384491927150515,5.82981466,1311.290145,0.007407407,3.106347,"High","Goatgrass",2022,30,246,28,45,405,6524.8,45,4.95
"Goatgrass_2023",0.198316797811656,0.0767500746192578,0.364634146341463,0.392156862745098,21.055956718855,11.2023553698785,3.45977015631123,0.641289838232815,4.8904877,684.162712,0.01,3.106066,"High","Goatgrass",2023,19,65,18,41,210,908,52,10.4909090909091
"Pond_2023",0.220326737229132,0.166844517654034,0.304843304843305,0.607142857142857,16.819114629141,8.41688654353562,3.37432635112777,0.581164902224108,1.04165207,271.5,0.012048193,2.951993,"Low","Pond",2023,9,22,8,27,74,191.666666666667,40,31.3805309734513
"Aikawa_2022",0.346524342415583,0.0914219390471805,0.606410256410256,0.442687747035573,30.6642695800489,17.6204305536348,2.56339139440421,0.595695268206852,0.62775,214.526921,0.00621118,3.592845,"Moderate","Aikawa",2022,10,45,24,42,612,363,43,38.1
