Scenario,Output,AETR,LACA,HECO,CAPA,HOVI,TRAL,GITR,NAJE,DICA,UNK,AGHE,DEVA,GRCA,LOHO,RACA,ERNU,LIBI,LOWR,TRFU,VIDO,SUM,Mean
Goatgrass,sVisitsP,0,63.43670557,16.64364549,58.64032812,24.18169399,311.0901021,0.893187213,18.0753707,6.258529196,0.000220199,14.66038545,0.51709891,1.216080308,0.605671334,0.152499182,9.30E-05,0.32015799,29.18447596,0.000178506,7.38E-05,545.876497,28.73034195
Goatgrass,sVisitsP,0,65.31225801,17.77546017,58.81413684,24.44605413,273.1812895,0.897379473,18.36832298,6.272734815,0.000112703,16.36197563,0.511047663,1.262379005,0.578287261,0.15623109,5.13E-05,0.31971575,25.74192979,0.00015696,9.39E-05,509.9996169,26.8420851
Goatgrass,sVisitsP,0,66.61895956,17.36657999,57.53933176,23.36845102,272.6410556,0.77708832,16.79746234,6.87095824,0.000274878,16.03418163,0.497210149,1.413616996,0.590858086,0.18718737,8.03E-05,0.374834175,27.10483833,0.000134522,0.000135289,508.1832385,26.74648624
Goatgrass,sVisitsP,0,70.57379199,18.06773973,50.27207794,24.3100189,257.8922341,0.76114052,15.53054091,7.059298805,0.000271953,15.20135074,0.458145174,1.385494486,0.555859921,0.166389961,6.13E-05,0.360822043,26.1447449,0.000109698,6.90E-05,488.7401621,25.72316643
Goatgrass,sVisitsP,0,61.99011944,17.69263182,58.98566063,22.38651851,307.0328042,0.763378113,16.0798622,6.165508195,0.000120773,13.40030068,0.534953605,1.137647532,0.579118879,0.172410644,5.17E-05,0.372506042,27.55210754,0.000114094,0.000163404,534.845978,28.14978832
Goatgrass,sVisitsP,0,64.22481229,18.19174586,50.04910309,24.22490187,261.5647035,0.812954015,16.84809755,6.41280951,0.000278963,14.72742745,0.487159839,1.351687435,0.523400115,0.145103127,0.000103851,0.37688812,29.37879712,0.000201572,0.000122611,489.3202979,25.75369989
Goatgrass,sVisitsP,0,60.14295186,17.91714295,57.53936136,27.19855178,273.0023829,0.80188034,17.07951508,6.436061833,0.000108659,14.14256761,0.544280197,1.244415734,0.539330782,0.165159665,9.84E-05,0.379383967,25.85009149,0.000169726,0.000127328,502.9835816,26.47282009
Goatgrass,sVisitsP,0,65.85613662,16.15703332,51.09623482,24.08038549,310.1789985,0.832803772,17.84703272,6.003921563,0.000193014,14.41484098,0.479349764,1.320865282,0.598704819,0.18665204,7.12E-05,0.35925215,25.02890062,0.000128418,0.000135064,534.4416402,28.12850738
Goatgrass,sVisitsP,0,72.32843278,16.66823488,57.83568928,27.42729673,289.8326788,0.802315719,16.34580851,6.615206651,0.000174292,15.46993933,0.466103494,1.340371365,0.563701871,0.164475276,7.96E-05,0.377360747,29.24837069,9.43E-05,0.000102635,535.486437,28.18349668
Goatgrass,sVisitsP,0,60.33541305,17.51040101,58.3393111,27.36943579,279.808762,0.904251079,17.59360305,6.493964585,0.000121832,15.12841717,0.514140716,1.211149623,0.544718223,0.161183351,9.28E-05,0.367024467,29.46679586,0.000156953,0.000133015,515.7490757,27.14468819
Goatgrass,sVisitsP,0,63.94263676,16.75184107,60.02700523,24.29170658,312.8010737,0.810386223,18.18574571,6.225161941,0.000138093,15.35762785,0.515460915,1.347345439,0.596253778,0.175919348,9.63E-05,0.338321567,26.45374838,0.000162254,9.63E-05,547.8207273,28.83266986
Goatgrass,sVisitsP,0,71.31638551,17.18569513,56.63503794,25.46668497,312.5051258,0.889432393,18.65330958,7.196059806,0.000181749,13.82814886,0.562310866,1.321842075,0.540551039,0.182639161,0.000134289,0.3850943,30.35914648,0.000121231,0.000160189,557.0280614,29.31726639
Goatgrass,sVisitsP,0,63.52308488,15.24822681,58.02770807,23.89536339,280.0460729,0.862862352,17.74510543,5.968746051,0.000213953,15.32550985,0.47309363,1.298324784,0.555661565,0.186005607,7.73E-05,0.307487224,27.62941448,0.000158917,0.000187646,511.0933049,26.89964763
Goatgrass,sVisitsP,0,64.3189456,18.29116789,58.75986265,25.77240061,271.4628664,0.89926532,17.91490988,6.590679012,0.000218445,15.80339775,0.536826412,1.302966215,0.506607005,0.15725153,0.00014235,0.320993279,29.83230174,9.77E-05,0.000124422,512.4710241,26.97215917
Goatgrass,sVisitsP,0,73.59572699,18.37598674,52.02758363,24.75345347,308.2690328,0.817595386,18.36304706,6.69231525,0.000223461,14.1738142,0.477867371,1.403342224,0.572033371,0.171291245,8.03E-05,0.333695515,29.17754091,0.000113052,0.000201259,549.2049442,28.90552338
Goatgrass,sVisitsP,0,67.38878438,16.9177717,59.21685646,24.2269059,314.5370218,0.891838427,16.80312452,6.393398112,0.000224197,13.47282517,0.528655857,1.337274664,0.598630956,0.17811083,5.86E-05,0.375950387,27.75063982,0.000101289,6.77E-05,550.6182407,28.97990741
Goatgrass,sVisitsP,0,73.12650295,18.14607899,59.80294495,24.00150637,306.3250069,0.898073073,16.28429031,6.450909953,0.000301565,13.75654492,0.549713112,1.314806506,0.525720898,0.193086137,0.000123633,0.324039999,28.98840693,0.000172546,7.02E-05,550.6882999,28.98359473
Goatgrass,sVisitsP,0,64.89964358,16.6078937,49.6907977,25.82185822,299.2518819,0.785525572,15.58852236,5.84761777,0.000116027,15.63606007,0.54238387,1.285198417,0.584857132,0.177332651,6.09E-05,0.353846074,24.3606079,0.000211438,7.07E-05,521.4344859,27.44392031
Goatgrass,sVisitsP,0,63.6354808,15.59997223,49.52787292,25.33269987,295.8539913,0.772190907,16.15187633,6.232431521,0.000196064,13.65518307,0.473217067,1.172887443,0.53602332,0.160295778,7.78E-05,0.332330158,24.57657933,0.000169472,9.74E-05,514.0135728,27.05334594
Goatgrass,sVisitsP,0,63.78234214,17.50570099,52.50269346,22.83635968,278.7706562,0.925470451,17.46911965,6.828336772,0.000205458,13.72431154,0.492229981,1.332867083,0.507107095,0.16065389,0.000113067,0.339233364,29.43594479,8.70E-05,9.02E-05,506.6135228,26.66386962
Goatgrass,sVisitsP,0,57.90238499,15.8938484,49.00242857,23.45146165,287.2427862,0.837558706,15.79908467,6.492290014,0.000109777,12.96277147,0.485758076,1.149256891,0.60016907,0.173972191,6.22E-05,0.34907717,25.63937657,0.000164547,0.000133248,497.9826944,26.2096155
