Plant_1,Plant_2,Plant_3,Plant_4,Plant_5,Plant_6,Plant_7,Plant_8,Plant_9,Plant_10,Plant_11,Plant_12,Plant_13,Plant_14,Plant_15,Plant_16,Plant_17,Plant_18,Plant_19,Plant_20
0,51.8284193831643,25.1540447743949,42.7168457042974,32.2242366482741,99.6494856479543,6.0516315605601,23.6856443162503,17.1673820947779,0.0831325400006244,22.5299386928855,4.61279265848551,7.35494523398197,4.45574786138577,2.3645763754813,0.0549153780465413,3.93736310613602,30.3122464314539,0.0725555715648514,0.0783143270250388
0,50.6427850893556,24.7082600213559,42.4929221151746,28.2439063399849,100.496203563292,5.43688779513092,27.4419302951313,14.9808842613335,0.0806119113940217,25.0199710424482,4.63144495980742,6.59093573215532,4.4882252772283,2.57382123283151,0.05286121337265,3.7571681351821,31.1512626156876,0.0653390886196807,0.0641322245624944
0,54.6160918247845,28.2586923126915,50.1633553896046,33.2001191032902,105.049775916162,5.81531819926107,28.164073781589,17.3724312127729,0.110901569200864,24.0369400772781,4.75293798229886,7.17860967731751,5.08661005405554,2.27859107811756,0.0651414394216502,3.80628149830945,32.6777727627647,0.0892028728263923,0.0543896687010877
0,49.1633567969121,23.5464685675586,47.1538567701912,29.7809671351023,116.744818102018,5.50271898653435,26.7261268877537,15.4720697957459,0.093599228888351,25.3052047917526,3.99237415554749,7.66121617667494,4.74533659458774,2.69589039921884,0.0680281169224544,3.67505939522068,30.6251677083303,0.0847647625975454,0.0891276472717584
0,49.0433741615742,26.4209383515115,46.8239244108691,34.6600327845643,108.259673253285,5.57756086502412,27.6273054804983,17.2490501355709,0.0716737399504734,24.8061270586242,4.28129172166968,7.23237020834457,4.77722152963657,2.46798088199633,0.051288379261989,3.60284494883077,33.064964631721,0.0587211799385881,0.0746971546560991
0,49.9559783487027,28.3342050480302,45.8530916599344,33.4096020846355,110.292039274209,5.68761445743379,27.9904557616004,15.5219552788092,0.0905440449534403,25.9841666334318,4.79232503738064,7.18827418985387,5.09365075403271,2.64234175196235,0.0618569264936871,3.4263955193776,31.9618229826376,0.0603360146981034,0.066022766523136
0,49.7952968379713,24.6804160292613,49.5783123761411,33.1522581072937,108.552859405757,5.21263462211794,25.3755447298617,16.3788405114437,0.104017079127239,24.5789399706243,4.62366977434812,7.54949642506261,4.54064413491031,2.21140929124672,0.049314515924811,3.81837445756016,29.7320610108955,0.0886671751132492,0.0774931860719077
0,48.6755344116647,24.3874785044473,49.8569231594397,31.6861861156377,104.283616686345,5.4336376869846,25.0307702825737,16.9366943960425,0.0954485873970437,26.0406068824562,4.17046277341539,6.89656192762859,4.60826078560869,2.44972599432404,0.0597541046972519,3.90047691648085,31.2218422158836,0.0739293704015902,0.0567677644213001
0,54.8490167551448,23.7472100611923,47.1729582999281,33.9834807636864,106.266105101629,5.36734746385258,23.6203382138492,14.9236772692046,0.111455102529822,25.1495060375651,4.33161158481201,6.34320223891554,4.40307235933797,2.71732299528339,0.0691133758285212,3.81796760381691,33.4278502437551,0.0589016355960957,0.0547701502555338
0,45.4153486897998,26.2972292773122,41.5935538655388,30.2019711069574,96.4157256710341,5.08451571495966,25.6896848963337,15.9709106377065,0.0952297650578249,24.3751392984716,4.19129705745541,6.45533172581736,4.39551883000421,2.6946220117411,0.0589742708129685,3.90003274012512,33.8146772327969,0.0818742434238486,0.0516186731702535
0,54.3760085782283,24.7113411678348,47.7750031040692,30.8495347883023,111.214587105812,5.7569943539432,24.7287074646814,14.9796766796302,0.0830735705279232,24.5068298856389,4.27641939948882,7.28495151406721,4.65814855089206,2.5009516064014,0.0677790360520658,3.72568820301051,33.5080566070042,0.0563117841604219,0.0646357143098049
0,54.3848207934036,25.7898845959151,43.2725857537644,31.2725209629626,113.148812778724,5.51959988500442,27.0738549502131,16.4760733731719,0.0870446508627287,22.1932607824271,4.54655168815695,7.16342571516246,5.07179150814011,2.22710302003979,0.0543142258104854,3.5808367819039,31.2692977273143,0.0967615632617245,0.0593021370707346
0,46.5506338905927,25.7498229507274,44.8839991940337,31.4579970282813,106.790515748162,5.68812112710443,24.5037845281776,14.3280732601582,0.100610813053751,25.5631310223698,4.3409769859233,6.47580259919796,4.69887237852282,2.1793298822164,0.0546268768034572,3.48882368843649,29.2593404982976,0.0639552510640554,0.0715235763956101
0,45.27903896939,26.7062538146015,48.1076616716489,30.0262807873058,113.593852810242,5.81944275891092,24.0372036672485,17.0929975107028,0.0702090647985221,22.8958547466742,4.18637098529508,6.93713079045781,4.65142696219452,2.36048415223647,0.0520831492651444,3.63733999641689,34.5095032422954,0.0635883445622629,0.0945005332389576
0,48.404065959986,26.6652549718816,42.0008644109965,32.9112838891756,109.7904047413,5.12018331906875,25.538814781594,16.8451646514497,0.115397270545254,24.1233950916932,4.79808456283451,6.74951830552173,4.11903396483485,2.4034810168351,0.0493989979323693,3.92848204005106,32.3504150395746,0.0835109247637126,0.0574948758095448
0,47.0040476606521,25.805017141593,45.1165137124908,33.5615338668875,97.2506244625339,5.55318060655939,27.7858789646892,16.1691550562769,0.0956835654572913,24.16522399183,4.24952858599256,6.332076452642,4.8250422700636,2.60805169222113,0.0567429958756535,3.31403231950629,32.5571079812885,0.0720634734529515,0.0573400242554505
0,47.9248795759129,24.9259932098418,42.8333817757355,29.1307359659234,105.362787838318,5.10557450479335,23.935294475949,16.6394471170122,0.0829451800879807,23.3024277480739,4.58743485512371,7.34811888924596,4.2633152622634,2.35106788429022,0.0492111814294152,3.74729908825296,31.6626544980619,0.0574839650744854,0.0603058184168444
0,47.0106137425593,27.3602679144798,44.7530227954245,29.3256164844268,99.092524451768,5.71942959437028,27.9003214019098,15.2369683921955,0.100942344500115,26.0528077314878,4.78955542207575,6.52649045846434,4.29749531169274,2.54374797679092,0.0538002541181007,3.86387764921009,31.5958873963834,0.0696210377226239,0.0682467692794683
0,49.8029048561732,24.6062609914491,41.0709465518505,31.8510805231759,98.7048076852075,5.96191509989141,23.4898314127012,16.2781821955553,0.0912455443712701,24.2940063153982,4.37134021425828,7.34959170815262,4.92507439628326,2.34726769512817,0.0476695946771943,3.56599023226251,29.3612355365698,0.0832936936260147,0.0560976457750084
0,48.1915776348992,26.1685278635775,50.5263536969784,33.7591385397161,104.179106036442,6.1021295747061,26.4376158910443,16.4927456014201,0.074747848670867,25.5657035797588,4.86594711869155,6.87741069729597,4.75560904673904,2.33923028492524,0.047864062923623,3.77524817425824,30.7039176024339,0.0583323858432368,0.0799071186494214
0,50.165175003013,27.6731551485295,48.1634865410003,31.1548714922572,110.031898484221,5.68608050702215,26.3317802125553,16.7948766404868,0.0990137601442993,26.2572616098004,4.78608103765146,7.48467442169584,4.31135164593461,2.72048093629472,0.0535297873486435,3.25896124706792,29.3575408946804,0.092821494757973,0.0668136095671021
0,47.2986831846689,28.0235736614948,43.0096668906677,32.5438203389183,97.6225853160606,6.25967312936042,27.8768821238108,15.9364105862149,0.0737924725324,24.9496281397808,4.49936272659832,7.3199308966304,4.3061100410503,2.77048236760899,0.0544462375590194,3.97496410167948,30.7015603859328,0.053922302258277,0.089242237712567
